The Lusty Men,Wald/Krasna Productions,United States of America
Feed the Kitty,Warner Bros. Pictures,United States of America
Casque d'Or,Robert et Raymond Hakim,United States of America
Casque d'Or,Spéva Films,United States of America
Casque d'Or,Paris Film Productions,United States of America
Pony Soldier,20th Century Fox,United States of America
Neighbours,National Film Board of Canada,Canada
The Flavor of Green Tea Over Rice,Shochiku Co.  Ltd.,Japan
The Importance of Being Earnest,Javelin Films,United States of America
The Importance of Being Earnest,British Film-Makers,United States of America
Diplomatic Courier,20th Century Fox,United States of America
Scandal Sheet,Columbia Pictures,United States of America
Scandal Sheet,Motion Picture Investors,United States of America
The Story of Robin Hood and His Merrie Men,RKO Radio Pictures,United States of America
The Story of Robin Hood and His Merrie Men,Walt Disney Productions,United States of America
Carson City,Warner Bros. Pictures,United States of America
Sudden Fear,RKO Radio Pictures,United States of America
Sudden Fear,Joseph Kaufmann Productions,United States of America
Hans Christian Andersen,Samuel Goldwyn Productions,United States of America
Pat and Mike,Metro-Goldwyn-Mayer,United States of America
Son of Paleface,Paramount,United States of America
Jack and the Beanstalk,Exclusive Productions Inc.,United States of America
Jack and the Beanstalk,Warner Bros. Pictures,United States of America
The Two Mouseketeers,Metro-Goldwyn-Mayer,United States of America
The Las Vegas Story,RKO Radio Pictures,United States of America
The Turning Point,Paramount,United States of America
Gambler and the Lady,Lippert Films,United States of America
Gambler and the Lady,Hammer Film Productions,United Kingdom
The Duel at Silver Creek,Universal International Pictures,United States of America
Donald Applecore,Walt Disney Productions,United States of America
Affair in Trinidad,The Beckworth Corporation,United States of America
Affair in Trinidad,Columbia Pictures,United States of America
Little Runaway,Metro-Goldwyn-Mayer,United States of America
Operation: Rabbit,Warner Bros. Pictures,United States of America
The Golden Coach,Panaria Film,United States of America
The Golden Coach,Delphinus,United States of America
The Golden Coach,Hoche Productions,United States of America
Trick or Treat,Walt Disney Productions,United States of America
O. Henry's Full House,20th Century Fox,United States of America
The Sniper,Stanley Kramer Productions,United States of America
The Sniper,Columbia Pictures,United States of America
47 morto che parla,BBDD Productions,Spain
The Big Sky,RKO Radio Pictures,United States of America
The Big Sky,Winchester Pictures Corporation,United States of America
5 Fingers,20th Century Fox,United States of America
Susie the Little Blue Coupe,BBDD Productions,Spain
Gift Wrapped,Warner Bros. Pictures,United States of America
Fanfan la Tulipe,BBDD Productions,Spain
Stolen Face,Hammer Film Productions,United Kingdom
Beep  Beep,BBDD Productions,Spain
Talk About a Stranger,Metro-Goldwyn-Mayer,United States of America
The Stranger in Between,British Film-Makers,United States of America
The Stranger in Between,Independent Artists,United States of America
Water  Water Every Hare,Warner Bros. Pictures,United States of America
Carrie,Paramount,United States of America
Glory at Sea,Molton,United States of America
Beware  My Lovely,RKO Radio Pictures,United States of America
Lost in Alaska,Universal Pictures,United States of America
Springfield Rifle,Warner Bros. Pictures,United States of America
Waiting Women,Svensk Filmindustri,Sweden
Toto and the Women,BBDD Productions,Spain
The Star,Bert E. Friedlob Productions,United States of America
The Star,20th Century Fox,United States of America
My Six Convicts,Stanley Kramer Productions,United States of America
We're Not Married!,20th Century Fox,United States of America
Assignment: Paris,Columbia Pictures,United States of America
Red Planet Mars,United Artists,United States of America
Park Row,Samuel Fuller Productions,United States of America
Off Limits,Paramount,United States of America
Without Warning!,Allart Productions,United States of America
Invasion  U.S.A.,Mutual Productions of the West,United States of America
Invasion  U.S.A.,American Pictures,United States of America
The Hasty Hare,Warner Bros. Pictures,United States of America
The White Reindeer,Junior-Filmi,United States of America
The Sound Barrier,London Film Productions,United States of America
Phone Call from a Stranger,20th Century Fox,United States of America
Horizons West,Universal International Pictures,United States of America
Macao,RKO Radio Pictures,United States of America
The Thief,BBDD Productions,Spain
The Battle at Apache Pass,Universal International Pictures,United States of America
The World in His Arms,Universal International Pictures,United States of America
The Sellout,Metro-Goldwyn-Mayer,United States of America
Sailor Beware,Paramount,United States of America
Sailor Beware,Wallis-Hazen,United States of America
Hello Aloha,Walt Disney Pictures,United States of America
One Cab's Family,Metro-Goldwyn-Mayer,United States of America
14 Carrot Rabbit,Warner Bros. Pictures,United States of America
Strange Fascination,Hugo Haas Productions,United States of America
Strange Fascination,Columbia Pictures,United States of America
Ruby Gentry,Bernhard-Vidor Productions Inc.,United States of America
Mother,Shintoho Company,Japan
Two Gun Goofy,Walt Disney Pictures,United States of America
The Golden Hawk,Esskay Pictures Corporation,United States of America
The Golden Hawk,Columbia Pictures,United States of America
Pluto's Party,Walt Disney Productions,United States of America
Rabbit's Kin,BBDD Productions,Spain
Going! Going! Gosh!,Warner Bros. Pictures,United States of America
Angels One Five,Templar Film Studios,United States of America
Angels One Five,Associated British Picture Corporation,United Kingdom
Fit to Be Tied,MGM Cartoon Studio,United States of America
The Promoter,A Ronald Neame Production,United States of America
Room for One More,Warner Bros. Pictures,United States of America
Little Red Rodent Hood,Warner Bros. Pictures,United States of America
The Hour of 13,Metro-Goldwyn-Mayer British Studios,United States of America
Lone Star,Metro-Goldwyn-Mayer,United States of America
A Bird in a Guilty Cage,Warner Bros. Pictures,United States of America
The Proud Princess,BBDD Productions,Spain
Hoodlum Empire,Republic Pictures,United States of America
At Sword's Point,RKO Radio Pictures,United States of America
Ghost Ship,Vernon Sewell Productions,United States of America
Duck and Cover,Archer Productions (II),United States of America
Cripple Creek,Edward Small Productions,United States of America
Cripple Creek,Columbia Pictures,United States of America
Deadline - U.S.A.,20th Century Fox,United States of America
How to Be a Detective,Walt Disney Pictures,United States of America
Bugles in the Afternoon,BBDD Productions,Spain
The Black Castle,Universal International Pictures,United States of America
Crash of Silence,Ealing Studios,United States of America
The Iron Mistress,Warner Bros. Pictures,United States of America
The Raiders,Universal International Pictures,United States of America
Teachers Are People,Walt Disney Productions,United States of America
Jumping Jacks,Paramount,United States of America
The Prisoner of Zenda,Metro-Goldwyn-Mayer,United States of America
Okuni to Gohei,Toho Company  Ltd.,Japan
Carbine Williams,Metro-Goldwyn-Mayer,United States of America
Cruise Cat,Metro-Goldwyn-Mayer,United States of America
Two Cents Worth of Hope,Universalcine,United States of America
Radar Men from the Moon,Republic Pictures,United States of America
Has Anybody Seen My Gal,Universal International Pictures,United States of America
Above and Beyond,Metro-Goldwyn-Mayer,United States of America
Little Beau Pepé,Warner Bros. Pictures,United States of America
Scarlet Angel,Universal International Pictures,United States of America
The Stooge,Paramount,United States of America
The Stooge,Wallis-Hazen,United States of America
Rome 11:00,Transcontinental Films,United States of America
Rome 11:00,Titanus,Italy
Smitten Kitten,BBDD Productions,Spain
This Woman Is Dangerous,Warner Bros. Pictures,United States of America
Yankee Buccaneer,Universal International Pictures,United States of America
Submarine Command,Paramount,United States of America
The Girl in the Bikini,BBDD Productions,Spain
With a Song in My Heart,20th Century Fox,United States of America
Abbott and Costello Meet Captain Kidd,Warner Bros. Pictures,United States of America
Lure of the Wilderness,20th Century Fox,United States of America
The Devil Makes Three,Metro-Goldwyn-Mayer,United States of America
The Cimarron Kid,Universal International Pictures,United States of America
The Captive City,Aspen Productions (I),United States of America
A Portrait of Ga,Ancona Films,United States of America
Dreamboat,20th Century Fox,United States of America
Peter Pan,RKO Radio Pictures,United States of America
